source_path,destination_path,detected_domain,keep_skip_review,confidence,title,reason
input\pdfs\biohacking_longevity\longevity_v1\Golgi-Protein-ACBD3-Mediates-Neurotoxicity-Associated-with-Hu_2013_Cell-Repo.pdf,main_pdfs_v2\biomedical\review\pdfs\biohacking_longevity\longevity_v1\Golgi-Protein-ACBD3-Mediates-Neurotoxicity-Associated-with-Hu_2013_Cell-Repo.pdf,biomedical,review,low,Golgi Protein ACBD3 Mediates Neurotoxicity Associated with Huntington's Disease,mixed or weak signals; construction=none; building_context=none; contamination=protein; climate=none
input\pdfs\biohacking_longevity\longevity_v1\Human-Stem-Cell-Derived-Spinal-Cord-Astrocytes-with-Defined-Ma_2013_Cell-Rep.pdf,main_pdfs_v2\biomedical\review\pdfs\biohacking_longevity\longevity_v1\Human-Stem-Cell-Derived-Spinal-Cord-Astrocytes-with-Defined-Ma_2013_Cell-Rep.pdf,biomedical,review,med,Human Stem Cell-Derived Spinal Cord Astrocytes with Defined Mature or Reactive Phenotypes,mixed or weak signals; construction=none; building_context=none; contamination=stem cell; climate=none
input\pdfs\biohacking_longevity\longevity_v1\Increased-Mammalian-Lifespan-and-a-Segmental-and-Tissue-Specific_2013_Cell-R.pdf,main_pdfs_v2\biomedical\review\pdfs\biohacking_longevity\longevity_v1\Increased-Mammalian-Lifespan-and-a-Segmental-and-Tissue-Specific_2013_Cell-R.pdf,biomedical,review,med,Increased Mammalian Lifespan and a Segmental and Tissue-Specific Slowing of Aging after Genetic Reduction of mTOR Expression,mixed or weak signals; construction=none; building_context=none; contamination=biological sample; climate=none
input\pdfs\biohacking_longevity\longevity_v1\Insulin-Biosynthetic-Interaction-Network-Component--TMEM24--Fac_2013_Cell-Re.pdf,main_pdfs_v2\physics\review\pdfs\biohacking_longevity\longevity_v1\Insulin-Biosynthetic-Interaction-Network-Component--TMEM24--Fac_2013_Cell-Re.pdf,physics,review,low,"Insulin Biosynthetic Interaction Network Component, TMEM24, Facilitates Insulin Reserve Pool Release",mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
input\pdfs\biohacking_longevity\longevity_v1\Localization-Dependent-and--Independent-Roles-of-SLX4-in-Regu_2013_Cell-Repo.pdf,main_pdfs_v2\unknown\review\pdfs\biohacking_longevity\longevity_v1\Localization-Dependent-and--Independent-Roles-of-SLX4-in-Regu_2013_Cell-Repo.pdf,unknown,review,low,Localization-Dependent and -Independent Roles of SLX4 in Regulating Telomeres,mixed or weak signals; construction=structural; building_context=none; contamination=protein; climate=none
input\pdfs\biohacking_longevity\longevity_v1\Mitophagy-at-the-crossroads-of-cancer-developmen_2024_Biochimica-et-Biophysi.pdf,main_pdfs_v2\unknown\review\pdfs\biohacking_longevity\longevity_v1\Mitophagy-at-the-crossroads-of-cancer-developmen_2024_Biochimica-et-Biophysi.pdf,unknown,review,low,Mitophagy at the crossroads of cancer development: Exploring the role of mitophagy in tumor progression and therapy resistance,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
input\pdfs\biohacking_longevity\longevity_v1\Multiple-Regulatory-Layers-of-SREBP1-2-by-SIRT6_2013_Cell-Reports.pdf,main_pdfs_v2\biomedical\review\pdfs\biohacking_longevity\longevity_v1\Multiple-Regulatory-Layers-of-SREBP1-2-by-SIRT6_2013_Cell-Reports.pdf,biomedical,review,low,Multiple Regulatory Layers of SREBP1/2 by SIRT6,mixed or weak signals; construction=none; building_context=none; contamination=protein; climate=none
input\pdfs\biohacking_longevity\longevity_v1\NLRP3-Inflammasome-Blockade-Inhibits-VEGF-A-Induced-Age-Relate_2013_Cell-Rep.pdf,main_pdfs_v2\unknown\review\pdfs\biohacking_longevity\longevity_v1\NLRP3-Inflammasome-Blockade-Inhibits-VEGF-A-Induced-Age-Relate_2013_Cell-Rep.pdf,unknown,review,low,NLRP3 Inflammasome Blockade Inhibits VEGF-A-Induced Age-Related Macular Degeneration,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
input\pdfs\biohacking_longevity\longevity_v1\Nonautonomous-Regulation-of-Neuronal-Migration-by-Insulin-Sign_2013_Cell-Rep.pdf,main_pdfs_v2\unknown\review\pdfs\biohacking_longevity\longevity_v1\Nonautonomous-Regulation-of-Neuronal-Migration-by-Insulin-Sign_2013_Cell-Rep.pdf,unknown,review,low,"Nonautonomous Regulation of Neuronal Migration by Insulin Signaling, DAF-16/FOXO, and PAK-1",mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
input\pdfs\biohacking_longevity\longevity_v1\On-the-path-to--Fe-S--protein-matura_2024_Biochimica-et-Biophysica-Acta--BBA.pdf,main_pdfs_v2\biomedical\review\pdfs\biohacking_longevity\longevity_v1\On-the-path-to--Fe-S--protein-matura_2024_Biochimica-et-Biophysica-Acta--BBA.pdf,biomedical,review,low,On the path to [Fe-S] protein maturation: A personal perspective,mixed or weak signals; construction=none; building_context=none; contamination=protein; climate=none
input\pdfs\biohacking_longevity\longevity_v1\Overexpression-of-PEX14-results-in-mistargeting-to_2024_Biochimica-et-Biophy.pdf,main_pdfs_v2\materials_science\review\pdfs\biohacking_longevity\longevity_v1\Overexpression-of-PEX14-results-in-mistargeting-to_2024_Biochimica-et-Biophy.pdf,materials_science,review,low,"Overexpression of PEX14 results in mistargeting to mitochondria, accompanied by organelle fragmentation and clustering in human embryonic kidney cells",mixed or weak signals; construction=materials; building_context=none; contamination=protein; climate=none
input\pdfs\biohacking_longevity\longevity_v1\Preconfigured--Skewed-Distribution-of-Firing-Rates-in-the-Hipp_2013_Cell-Rep.pdf,main_pdfs_v2\unknown\review\pdfs\biohacking_longevity\longevity_v1\Preconfigured--Skewed-Distribution-of-Firing-Rates-in-the-Hipp_2013_Cell-Rep.pdf,unknown,review,low,"Preconfigured, Skewed Distribution of Firing Rates in the Hippocampus and Entorhinal Cortex",mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
input\pdfs\biohacking_longevity\longevity_v1\Protein-kinase-D1-and-downstream-signaling-m_2024_Biochimica-et-Biophysica-A.pdf,main_pdfs_v2\biomedical\review\pdfs\biohacking_longevity\longevity_v1\Protein-kinase-D1-and-downstream-signaling-m_2024_Biochimica-et-Biophysica-A.pdf,biomedical,review,low,Protein kinase-D1 and downstream signaling mechanisms involved in GLUT4 translocation in cardiac muscle,mixed or weak signals; construction=none; building_context=none; contamination=protein; climate=none
input\pdfs\biohacking_longevity\longevity_v1\RAG2-s-Acidic-Hinge-Restricts-Repair-Pathway-Choice-and-Promot_2013_Cell-Rep.pdf,main_pdfs_v2\unknown\review\pdfs\biohacking_longevity\longevity_v1\RAG2-s-Acidic-Hinge-Restricts-Repair-Pathway-Choice-and-Promot_2013_Cell-Rep.pdf,unknown,review,low,RAG2's Acidic Hinge Restricts Repair-Pathway Choice and Promotes Genomic Stability,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
input\pdfs\biohacking_longevity\longevity_v1\Selective-Small-Molecule-Targeting---Catenin-Function-Discovere_2013_Cell-Re.pdf,main_pdfs_v2\unknown\review\pdfs\biohacking_longevity\longevity_v1\Selective-Small-Molecule-Targeting---Catenin-Function-Discovere_2013_Cell-Re.pdf,unknown,review,low,Selective Small Molecule Targeting &beta;-Catenin Function Discovered by In&nbsp;Vivo Chemical Genetic Screen,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
