lens,pdf_path,pdf_name,page_number,sentence_index,sentence,event_type,outcome,confidence,context_strength,source_weight,tags,entities,error
climate,cache/rss/34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,3,15,"Zone 0 Winds carry debris and embers during wildfires, which settle near homes as the wind interacts with the structure.",climate_resilience,negative,med,moderate,0.9,"[""climate_resilience"", ""has_hazard"", ""construction_climate_interaction""]","[{""entity_type"": ""hazard"", ""entity_name"": ""wind"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}, {""entity_type"": ""system"", ""entity_name"": ""structure"", ""entity_variant"": ""system"", ""role"": ""context""}]",
climate,cache/rss/34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,3,16,Combustibles should be kept at least 5 feet from the home to minimize the risk of short flames to the home and provide no fuel for embers to land on.,climate_resilience,neutral,low,moderate,0.9,"[""climate_resilience""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""risk"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
climate,cache/rss/37c6db8aeb8d31251a682f10c55a223a.pdf,37c6db8aeb8d31251a682f10c55a223a.pdf,1,11,"Meanwhile, we propose data—including sensory inputs, internal thought trajectories, a meta-learning strategy for continual policy adaptation, where and outcome feedback—the system continuously updates its the scheduler optimizes its cognitive strategy over time using scheduling policy.",climate_resilience,neutral,low,weak,0.9,"[""climate_resilience""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""adaptation"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
climate,cache/rss/37c6db8aeb8d31251a682f10c55a223a.pdf,37c6db8aeb8d31251a682f10c55a223a.pdf,1,22,"If an AI system can • History-Adaptive Scheduler: Unlike fixed rule-based autonomously schedule and execute these thinking activities, systems, our scheduler is trained on accumulated histori- it can evolve from a static tool into an active agent capable of cal interaction logs (D𝑡), enabling it to adapt to specific self-improvement and adaptation.",climate_resilience,neutral,low,weak,0.9,"[""climate_resilience""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""adaptation"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
climate,cache/rss/37c6db8aeb8d31251a682f10c55a223a.pdf,37c6db8aeb8d31251a682f10c55a223a.pdf,2,30,"However, the majority of these approaches prioritize Furthermore,ourschedulerisnotfixed;itadaptsovertimeby knowledgeaccumulation—expandingwhattheagentknows— learningfromhistoricalinteractiondata,ensuringthecognitive rather than behavioral adaptation—evolving how the agent workflow remains flexible and replaceable rather than static.",climate_resilience,neutral,low,weak,0.9,"[""climate_resilience""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""adaptation"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
climate,cache/rss/37c6db8aeb8d31251a682f10c55a223a.pdf,37c6db8aeb8d31251a682f10c55a223a.pdf,2,35,Recent research has focused on enabling edge storage to policy adaptation at the cognitive scheduling LLMs to reflect on their own outputs to improve performance layer.,climate_resilience,neutral,low,weak,0.9,"[""climate_resilience""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""adaptation"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
climate,cache/rss/37c6db8aeb8d31251a682f10c55a223a.pdf,37c6db8aeb8d31251a682f10c55a223a.pdf,3,4,"learns to select the most effective thinking modules (e.g., Much like a human mind that may spontaneously recall a Plannervs.Critic)forspecificcontexts.Thisapproachenables past issue, plan for the future, reflect on recent events, or lightweight, online adaptation of behavior without requiring even engage in dream-like states, the proposed AI scheduler full model fine-tuning or manual reward engineering.",climate_resilience,neutral,low,weak,0.9,"[""climate_resilience""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""adaptation"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
climate,cache/rss/47eee9997e0b69e0d0e99ec54e71c7de.pdf,47eee9997e0b69e0d0e99ec54e71c7de.pdf,1,21,"Due to their stimulus-responsive shape adaptation, SMAHCs enable advanced functionalities in 1 6202 rpA 51 ]hp-ppa.scisyhp[ 1v23441.4062:viXra",climate_resilience,neutral,low,moderate,0.9,"[""climate_resilience""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""adaptation"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
climate,cache/rss/516c7689c0fc3b23dc6f0544a93e4ee3.pdf,516c7689c0fc3b23dc6f0544a93e4ee3.pdf,2,4,"Where the local risk of infection is relatively high, local vaccination uptake is high, which in turn prevents the spread of disease to other regions.",climate_resilience,neutral,low,weak,0.9,"[""climate_resilience""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""risk"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
climate,cache/rss/516c7689c0fc3b23dc6f0544a93e4ee3.pdf,516c7689c0fc3b23dc6f0544a93e4ee3.pdf,3,24,"(1) 0 j j j j Weassumethatthevaccine,beforeitwanes,iscompletelyprotective,yethasamone- tary cost or (perceived) medical risk ρ > 0.",climate_resilience,neutral,low,moderate,0.9,"[""climate_resilience""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""risk"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
climate,cache/rss/54898384a1282410a5a21b61cd7c7361.pdf,54898384a1282410a5a21b61cd7c7361.pdf,3,10,The superior resilience of human vision against adversarial attacks has attracted wide research interests in developing brain-inspired algorithms for adversarial defence.,climate_resilience,neutral,low,weak,0.9,"[""climate_resilience""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""resilience"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
climate,cache/rss/6198a5aa70bda0564102068ecd3fb425b63ae537d2299a64c5242fcf2d216b8b.pdf,6198a5aa70bda0564102068ecd3fb425b63ae537d2299a64c5242fcf2d216b8b.pdf,2,17,"Moreover, MDA dynamics during organ perfusion revealed an increased vulnerability of ischemic organs to lipid peroxidation and a potential protective effect of dynamic preservation.",climate_resilience,neutral,low,weak,0.9,"[""climate_resilience""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""vulnerability"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
climate,cache/rss/6198a5aa70bda0564102068ecd3fb425b63ae537d2299a64c5242fcf2d216b8b.pdf,6198a5aa70bda0564102068ecd3fb425b63ae537d2299a64c5242fcf2d216b8b.pdf,3,6,"Yearly, thousands of patients are added to the waiting list, where the limiting factor for treatment is the supply of good quality donor organs.(2) Organ quality is generally dictated by donor type, ischemic time, age, and presence of pre-existing disease.(3) The use of “extended criteria” donor organs narrows the gap between demand and supply, but not without risk.",climate_resilience,neutral,low,moderate,0.9,"[""climate_resilience""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""risk"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
climate,cache/rss/651d057955a5c730db38440bf8070a4c.pdf,651d057955a5c730db38440bf8070a4c.pdf,2,1,"Canadian Climate Normals Normales climatiques au Canada 1951 — 1980 Volume Title/Titre (cid:9) Issued/Publié Price/Prix 1 (cid:9) Radiation/Rayonnement (cid:9) 1982 (cid:9) $ 3.00 2 (cid:9) Temperature/Température (cid:9) 1982 (cid:9) $6.00 3 (cid:9) Precipitation/Précipitations (cid:9) 1982 (cid:9) $ 8.00 4 (cid:9) Degree Days/Degrés-jours (cid:9) 1982 (cid:9) $ 6.00 5 (cid:9) Wind/Vent (cid:9) 1982 (cid:9) $ 5.00 6 (cid:9) Frost/Gel (cid:9) 1982 (cid:9) $ 3.00 7 (cid:9) Bright Sunshine/I nsolation Effective (cid:9) 1982 (cid:9) $ 3.00 8 (cid:9) Pressure, Temperature and Humidity (cid:9) 1984 (cid:9) $ 7.00 Pression, Température et Humidité 9(cid:9) Soil Temperature, Lake Evaporation, (cid:9) 1984 (cid:9) $ 5.00 Days With .",climate_resilience,negative,med,moderate,0.9,"[""climate_resilience"", ""has_hazard""]","[{""entity_type"": ""hazard"", ""entity_name"": ""wind"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}, {""entity_type"": ""hazard"", ""entity_name"": ""humidity"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}]",
climate,cache/rss/651d057955a5c730db38440bf8070a4c.pdf,651d057955a5c730db38440bf8070a4c.pdf,3,2,"YELLOVIKNIFE,NT X1A 2P7 CANADIAN CLIMATE NORMALS NORMALES CLIMATIQUES AU CANADA VOLUME 8 ATMOSPHERIC (cid:9) PRESSION PRESSURE, (cid:9) ATI1105PHÉRIQUE, TEMPERATURE, (cid:9) TEMPÉRATURE AND HUMIDITY (cid:9) ET HUMIDITÉ 1951-1980 A publication of the Canadian Climate Program Publication du Programme climatologique canadien UDC:551.582.2(71) 1984",climate_resilience,negative,med,moderate,0.9,"[""climate_resilience"", ""has_hazard""]","[{""entity_type"": ""hazard"", ""entity_name"": ""humidity"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}]",
climate,cache/rss/707b52cf1b4bb2a87b6a195142739f464c8387c1d074cb1b74a4dd09fa68df80.pdf,707b52cf1b4bb2a87b6a195142739f464c8387c1d074cb1b74a4dd09fa68df80.pdf,1,20,"In neutrophils, 4 ofsterile-injuryinflammatoryresponses, ourfindings LTB exposure alone fails to elicit significant LTB gener- 4 4 suggestaunifyingcircuitforswarmregulationacross ation[29–31] unless free AA is available, establishing AA injuryandinfectioncontexts.",climate_resilience,neutral,low,moderate,0.9,"[""climate_resilience""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""exposure"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
climate,cache/rss/82786849a63aacf9054a5a9564a484d0.pdf,82786849a63aacf9054a5a9564a484d0.pdf,1,13,"Therefore, finding alternative, renewable, and eco-friendly energy sources is essential for powering future global industries.[1-3] Thermoelectric materials are one of the green energy harvesting techniques, but their efficiency to convert waste heat into useful energy is very low.[4-9] Therefore, there is an urgent need for energy storage technologies that are both efficient and cost-effective, as many clean energy sources, such as wind and solar, are intermittent and require reliable storage before they can be utilized.",climate_resilience,negative,med,moderate,0.9,"[""climate_resilience"", ""has_hazard""]","[{""entity_type"": ""hazard"", ""entity_name"": ""wind"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}]",
climate,cache/rss/9d4253e03cd3e5037aae276003c554a57b6d38edc16bde989426da0766c910a0.pdf,9d4253e03cd3e5037aae276003c554a57b6d38edc16bde989426da0766c910a0.pdf,1,4,"Adaptation of white adipocytes to cooler temperatures: impacts on energy metabolism and protein acetylation Hiroyuki Mori1, #, Hadla Hariri1, #, William Moe1, Sophia Durham1, Yuridia Guzman1, Emma Paulsson1, Rachel C.",climate_resilience,neutral,low,weak,0.9,"[""climate_resilience""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""adaptation"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
climate,cache/rss/9d4253e03cd3e5037aae276003c554a57b6d38edc16bde989426da0766c910a0.pdf,9d4253e03cd3e5037aae276003c554a57b6d38edc16bde989426da0766c910a0.pdf,2,8,"Here we show that adaptation to cool temperatures leads to a widespread decrease in protein acetylation in both undifferentiated and differentiated adipocytes, independent of nutrient status, and that this change is readily reversible upon rewarming.",climate_resilience,neutral,low,weak,0.9,"[""climate_resilience""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""adaptation"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
climate,cache/rss/9d4253e03cd3e5037aae276003c554a57b6d38edc16bde989426da0766c910a0.pdf,9d4253e03cd3e5037aae276003c554a57b6d38edc16bde989426da0766c910a0.pdf,2,12,"Together, these findings establish physiologically relevant cooling as a cell-autonomous regulator of mitochondrial protein acetylation and metabolic adaptation in adipocytes.",climate_resilience,neutral,med,weak,0.9,"[""climate_resilience"", ""construction_climate_interaction""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""adaptation"", ""entity_variant"": ""concept"", ""role"": ""context""}, {""entity_type"": ""system"", ""entity_name"": ""cooling"", ""entity_variant"": ""system"", ""role"": ""context""}]",
climate,cache/rss/9d4253e03cd3e5037aae276003c554a57b6d38edc16bde989426da0766c910a0.pdf,9d4253e03cd3e5037aae276003c554a57b6d38edc16bde989426da0766c910a0.pdf,2,13,"KEYWORDS Adipocytes, Cool-temperature adaptation, Mitochondrial function, Protein acetylation, Metabolic remodeling, SHMT2, PCCA 2",climate_resilience,neutral,low,moderate,0.9,"[""climate_resilience""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""adaptation"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
climate,cache/rss/a236d3dc7e68a998d25cc6047ae5a939.pdf,a236d3dc7e68a998d25cc6047ae5a939.pdf,,,,ERROR,,,,,[],[],PdfminerException: No /Root object! - Is this really a PDF?
climate,cache/rss/a826780f36e3bf0d75e8312ffcffafd2.pdf,a826780f36e3bf0d75e8312ffcffafd2.pdf,2,12,"Bayesian credible intervalscanexhibitpoorfrequentistcoverageundermodelmisspecification—theposterior concentrates with a covariance differing from the frequentist sandwich variance (Kleijn and van der Vaart, 2012), yielding strictly higher risk (Mu¨ller, 2013), and misspecification can even render the posterior inconsistent (Gru¨nwald and van Ommen, 2017).",climate_resilience,neutral,med,strong,0.9,"[""climate_resilience"", ""climate_scenario""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""risk"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
climate,cache/rss/a969862b646ac57cadf0701326bec709.pdf,a969862b646ac57cadf0701326bec709.pdf,2,9,Even recently proposed ultraviolet (UV)‑assisted wet‑etching techniques26 essentially correspond to maskless exposure lithography rather than true direct micromachining.,climate_resilience,neutral,low,weak,0.9,"[""climate_resilience""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""exposure"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
climate,cache/rss/b44324db33bc1f6fcd78f9f7f451ef75.pdf,b44324db33bc1f6fcd78f9f7f451ef75.pdf,1,1,"Correlative Microstructural Analysis of a Weathered Nantan Meteorite Fragment GraemeJ.Francolinia,∗, BrendanV.Dyckb, PaulMackc and BenBrittona aDepartmentofMaterialsEngineering,UniversityofBritishColumbia,Vancouver,V6T1Z4,BritishColumbia,Canada bDepartmentofEarthandEnvironmentalSciences,UniversityofBritishColumbia,Kelowna,V1V1V7,BritishColumbia,Canada cThermofisherScientific ARTICLE INFO ABSTRACT Theweatheringofiron-richphaseswithinmeteoritesisamulti-stageprocessthatsignificantly Keywords: altersthemicrostructureandchemicalcompositionbasedbothontheenvironmentalcondition at the location of landing and the exposure time since the fall.",climate_resilience,neutral,low,weak,0.9,"[""climate_resilience""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""exposure"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
climate,cache/rss/b7b5a50c645e645e06496b3396b23ad4b9cfc3929475825723055a396d2dc78b.pdf,b7b5a50c645e645e06496b3396b23ad4b9cfc3929475825723055a396d2dc78b.pdf,3,10,"We recently proposed that targeting key protein–protein interactions (PPIs) within DRG nociceptor signaling networks could enable the development of analgesics with improved specificity and fewer side effects, and identified promising candidate targets for pain mitigation (7).",climate_resilience,positive,low,strong,0.9,"[""climate_resilience""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""mitigation"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
climate,cache/rss/buildin_physics_heat_air_leseprobe.pdf,buildin_physics_heat_air_leseprobe.pdf,1,1,"ABOUT THE BOOK Hugo Hens Bad experiences with construction quality the energy This book deals with heat air and moisture transport in Building Physics – crises of 1973 and 1979, complaints about „sick build- building parts or assemblies and whole buildings with ings“, thermal acoustical, visual and olfactory discom- emphasis on the building engineering applications.",climate_resilience,negative,med,moderate,0.9,"[""climate_resilience"", ""has_hazard""]","[{""entity_type"": ""hazard"", ""entity_name"": ""moisture"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}]",
climate,cache/rss/buildin_physics_heat_air_leseprobe.pdf,buildin_physics_heat_air_leseprobe.pdf,1,2,"fort the need for good air quality the move towards en- Compared to the third edition this fourth edition has Heat, Air and Moisture ergy efficiency decarbonization and sustainability – all been expanded in chapter 1 to include the physical de- these have accelerated the development of a discipline termination of the thermal conductivity of materials to- that for a long time was hardly more than an academic gether with an in-depth discussion of all the effects of exercise: building physics.",climate_resilience,negative,med,moderate,0.9,"[""climate_resilience"", ""has_hazard""]","[{""entity_type"": ""hazard"", ""entity_name"": ""moisture"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}]",
climate,cache/rss/buildin_physics_heat_air_leseprobe.pdf,buildin_physics_heat_air_leseprobe.pdf,1,4,"In chapter 2, additional infor- mains such as heat and mass transfer building acoustics mation has been added on wind pressure and the evalua- combines theory with typical lighting, indoor environmental quality energy efficiency tion of condensation inside the building com-ponents building engineering practice and, in some countries fire safety.",climate_resilience,negative,med,moderate,0.9,"[""climate_resilience"", ""has_hazard""]","[{""entity_type"": ""hazard"", ""entity_name"": ""wind"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}]",
climate,cache/rss/buildin_physics_heat_air_leseprobe.pdf,buildin_physics_heat_air_leseprobe.pdf,1,9,"Building Physics – Heat, Air and Moisture Fundamentals, Engineering Methods, Material Properties With Exercises Fourth Edition ORDER Quantity ISBN / Order-No.",climate_resilience,negative,low,weak,0.9,"[""climate_resilience"", ""has_hazard""]","[{""entity_type"": ""hazard"", ""entity_name"": ""moisture"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}]",
climate,cache/rss/buildin_physics_heat_air_leseprobe.pdf,buildin_physics_heat_air_leseprobe.pdf,1,12,"384 pages · 978-3-433-03422-4 Building Physics – Heat, Air and Moisture […] approx.",climate_resilience,negative,med,moderate,0.9,"[""climate_resilience"", ""has_hazard""]","[{""entity_type"": ""hazard"", ""entity_name"": ""moisture"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}]",
climate,cache/rss/buildin_physics_heat_air_leseprobe.pdf,buildin_physics_heat_air_leseprobe.pdf,1,15,"18 tables 978-3-433-03429-3 Building Physics – Heat, Air and Moisture […] (Print + ePDF) approx.",climate_resilience,negative,med,moderate,0.9,"[""climate_resilience"", ""has_hazard""]","[{""entity_type"": ""hazard"", ""entity_name"": ""moisture"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}]",
climate,cache/rss/buildin_physics_heat_air_leseprobe.pdf,buildin_physics_heat_air_leseprobe.pdf,2,3,"4 0.4 History 5 0.4.1 InGeneral 5 0.4.2 AppliedPhysics 5 0.4.2.1 Heat,Air,Moisture 5 0.4.2.2 Acoustics 8 0.4.2.3 Lighting 9 0.4.3 IndoorAirQualityandThermalComfort 9 0.4.4 BuildingServices 11 0.4.5 BuildingDesignandConstruction 11 0.4.6 HallofFame 12 0.4.7 BuildingPhysicsattheKULeuvenandOtherUniversitiesintheLow Countries 13 FurtherReading 15 1 HeatTransfer 17 1.1 InGeneral 17 1.1.1 Heat 17 1.1.1.1 What?",climate_resilience,negative,med,moderate,0.9,"[""climate_resilience"", ""has_hazard""]","[{""entity_type"": ""hazard"", ""entity_name"": ""moisture"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}]",
climate,cache/rss/building-physics.pdf,building-physics.pdf,1,2,"itio n It treats all the basic knowledge: heat and moisture Physics transfer and the implication of these for energy household of buildings and the durability of structures (interstitial condensation, etc.), daylighting and artificial lighting, passive solar gain and sun shading, ventilation and air quality, etc.",climate_resilience,negative,med,weak,0.9,"[""climate_resilience"", ""has_hazard"", ""construction_climate_interaction""]","[{""entity_type"": ""hazard"", ""entity_name"": ""moisture"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}, {""entity_type"": ""system"", ""entity_name"": ""ventilation"", ""entity_variant"": ""system"", ""role"": ""context""}]",
climate,cache/rss/c78bff2377fa6796b67468183ab0557568c64579ab0627173f08274703c9e6af.pdf,c78bff2377fa6796b67468183ab0557568c64579ab0627173f08274703c9e6af.pdf,2,10,"In vivo, carotid ligation was performed in mice gavaged with/without either daily moderate ethanol (2-drink equivalent/d) or episodic binge exposure (7-drink equivalent, 2 days/week) and myo-endothelial cell population assessed.",climate_resilience,neutral,low,moderate,0.9,"[""climate_resilience""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""exposure"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
climate,cache/rss/c78bff2377fa6796b67468183ab0557568c64579ab0627173f08274703c9e6af.pdf,c78bff2377fa6796b67468183ab0557568c64579ab0627173f08274703c9e6af.pdf,2,16,"Daily moderate ethanol significantly attenuated neointimal hyperplasia and diminished the myo-endothelial cell population, whereas in contrast, episodic binge ethanol exposure increased pathologic remodeling and myo-endothelial cell abundance.",climate_resilience,neutral,low,weak,0.9,"[""climate_resilience""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""exposure"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
