event_id,event_type,stage,confidence_original,evidence_snippet,science_research_v1_score,biohacking_curiosity_v1_score
5f40f858b3707e8d,decision_point,in_vivo,low,Walking Speed Dependency Self-rated health Emotional vitality Domain T0 T9 T0 T9 T0 T9 T0 T9 Gender x x x Age at baseline x x x x x x Adiposity x x x x x Muscle function x x x x x x Cardio-metabolic f,+0.0,+0.0
198ec37bbf199ab5,manufacturing_constraint,in_vivo,low,"On the other hand, these variables were build a statistical that could help in building an objective also selected due to their consistent relationship with the operationalised definition of successfu",+0.0,+0.0
4c996d796a218bee,decision_point,unknown,low,"METHODS which were subsequently included in the EFA, in order to avoid techniques such as multiple imputation.",+0.0,+0.0
513a14a95963c367,decision_point,unknown,low,InCHIANTI is a cohort survey that was individual contribution of the four health domains at designed and conducted to study risk factors and baseline was similar after nine-year follow-up.,+0.0,+0.0
c289fb76bc747714,decision_point,in_vivo,low,Data Exploratory factor analysis collection continued thereafter every three years.,+0.0,+0.0
100e5ffddaf1e4f9,decision_point,unknown,low,"We started by and nine-year (2007 -2008) follow-up, which was investigating multivariate normality using the Doornik- concluded in 2009.",+0.0,+0.0
16d08f607da93f7e,decision_point,unknown,low,"Given the wide range of variables Hansen test [50] and the distributions of selected collected as well as the long follow-up, this cohort variables were explored by using histograms.",+0.0,+0.0
14fb90fa2bb23b2c,decision_point,in_vivo,low,project’ (ICS110.1/RF97.71) by the Italian Ministry of Health and in part by the US National Institute on Mixed effect regression and mixed effect logistic Aging (contracts: 263 MD 916413 and 263 MD m,+0.0,+0.0
523eb3c7db375eeb,decision_point,unknown,low,To do this we InCHIANTI follow-ups 2 and 3 studies (2004–2010) calculated factor scores for each of the time points.,+0.0,+0.0
77ab474dbfa3532f,decision_point,unknown,low,"If a were financed by the US National Institute on Aging variable was not available at a specific follow-up point, (contract: N01-AG-5-0002); this research was it was substituted for the value at the ",+0.0,+0.0
9d2f04b17ca36ad4,decision_point,in_vivo,low,"The Newcastle 85+ study: biological, self-rated and objectively measured successful aging clinical and psychosocial factors associated with constructs in an urban sample of African American healthy ag",+0.0,+3.0
7d1c3befca3e0f44,method_evaluation,in_vivo,med,Muscle Function Serum creatinine (reciprocal) 0.084 Waist to hip ratio) 0.069 Muscle power lower ext.,+0.0,+0.0
f2279649daf26cfd,method_evaluation,unknown,med,"ll Review Human trials exploring anti-aging medicines LeonardGuarente,1,2,*DavidA.Sinclair,2,3andGuidoKroemer2,4,5,6,* 1DepartmentofBiology,MassachusettsInstituteforTechnology,Cambridge,MA02139 2Acade",+0.0,+3.0
aa9709944b35996a,efficacy_result,in_vivo,med,"Multiple clinical trials have commenced toevaluatetheefficacyofsuchagentsagainstage-associateddiseasesincludingdiabetes,cardiovascular disease, cancer, and neurodegenerative diseases.",+0.0,+0.0
1b48e7b24da18392,manufacturing_constraint,in_vivo,low,There are reasonable expectations that drugs able to decelerate or reverse aging processes will also exert broad disease-preventing or -attenuating effects.,+0.0,+0.0
0031ad94004bbb8a,decision_point,unknown,low,Drugsapproved for specific disease indicationsmaysubsequently be repur- posedforthetreatmentoforganism-wideagingconsequences.,+0.0,+0.0
c13bf551a3b46dc3,efficacy_result,in_vivo,med,"Overthepastthreedecades,aginghasbeenstudiedusingthe We have also avoided recent, potentially exciting strategies same advanced tools of genetics and molecular biology that thatmayfacesignificantbarrie",+0.0,+0.0
8ebd193696ed132a,efficacy_result,in_vivo,med,"adultsomaticcellsintoembryonicstemcellsusingthe‘‘Yama- This research has identified numerous aging-relevant mecha- nakafactors,’’acocktailofgenesencodingfourdifferenttran- nismsandpathwaysthatconstitu",+5.0,-1.0
5ab692deec72ee89,decision_point,in_vivo,med,"These interventions were chosen based on several ventheartandkidneydiseases,reduceoverallmortalityindia- criteria.First,theyarewellrepresentedincompletedorongoing beticmiceandreducecardiovasculardeath",+0.0,+0.0
d8a8cdb1f106cf7b,manufacturing_constraint,clinical,med,"Second, they have THEPROCESSESTHEYAFFECT a solid track record of slowing aging in preclinical studies in model organisms, including rodents.",+0.0,+0.0
7254589a6c636fc9,decision_point,unknown,med,"AMPK activation lowers glucose production in the liver glucose-loweringagenttomanagetype2diabetes(T2D).Itshis- of insulin resistant diabetics and stimulates mitochondrial torytracestotheFrenchlilac,at",+0.0,+1.0
9011ced4516f5f50,efficacy_result,in_vivo,med,"Gradually, the safety weakened respiratory chain, and the decreased release of tis- andefficacyofmetforminbecameclear,andithasbeenwidely sue-damaging factorsbysenescentcells(senescence-associ- usedasa",-4.0,+0.0
09c90c221d0675f0,manufacturing_constraint,unknown,med,"Inmice,GLP-1Ragonistsappeartoslowor have also been found, including the release of glucagon-like evenreverseagingprocessesaffectingthebrain.32 peptide-1(GLP-1),GDF15,andMIC-1.16 Rapamycin/TORC1 NAD+/s",+3.0,-1.0
17f6cc140ea5b4f3,efficacy_result,in_vivo,med,"Rapamycin represses activity of slow aging processes in yeast, worms, flies, and mice and akinasecomplex,TORC1,whichwasfirstidentifiedinyeast,33 extend their lifespan.17 Notably, rare variants in huma",+0.0,+0.0
501c432e0dc73567,decision_point,unknown,med,"This Chemical analogs of rapamycin, or rapalogs, have recently restoredNAD+activatesmitochondrialSIRT3tofacilitatemito- been sought to fine-tune mTOR inhibition (i.e., inhibit TORC1 chondrialmaintenan",+0.0,+2.0
9a7667bd0a5be155,decision_point,in_vivo,med,"In addition to NAD+ boosters, sirtuin activating com- Thenaturalmetabolite,spermidine,isthesolepolyaminethatin- pounds (STACs) that directly activate the mammalian sirtuin, creasesthelifespanofyeast,w",+0.0,+0.0
005d89ea2ec65dfd,manufacturing_constraint,unknown,med,"requireactivationofthepro-autophagictranscriptionfactorEB forallbutthereferenceattheendofthissection).31Differential (TFEB).45,46 TFEB activation requires attachment of hypusine processingofproglucago",+0.0,+0.0
271c83e333183f10,manufacturing_constraint,unknown,low,"urolithinA,arealsoinducersofautophagyandmitophagy.51–53 Possible causes of inflammaging include poor diets and/or Hence,byactivatingautophagy,spermidinemayactivateacen- lackofexerciseleadingtometaboli",+3.0,+0.0
530f9a63837179a5,toxicity_flag,in_vivo,med,"In the first, the DNA repair ingorganismsandtobereducedbyalow-caloriediet,whichis gene,ERCC1,wasknockedoutinhematopoieticcellstriggering knowntoextendlifespan.55Senescentcellshavepossiblenon- a wide v",+0.0,+0.0
bf2cb202335a2e88,decision_point,clinical,med,"(aSrckinaseinhibitorinclinicalusesince2005)usedincombi- nation with the flavonol quercetin (D + Q), the natural grape HUMANSTUDIESONTHEEIGHTINTERVENTIONS seedextractpolyphenolprocyanidinC1,certainheat",+0.0,+2.0
8a3945c11a012c8f,efficacy_result,unknown,med,"For example, cancer ofprobioticsmayhavethepotentialtolowersystemicinflamma- protectionmaybeduetomitigatinghyperinsulinemia,sincein- tionandyieldsalutaryeffects.",+0.0,+0.0
6cc7e50c634c7459,decision_point,in_vivo,med,"Examplesofinterventional,ongoingclinicaltrialsonage-associatedcardiovasculardiseases,cancerprevention,neurodegeneration,andotherage-related conditions Category Molecule Indication Status Phase Princip",+0.0,+0.0
8a14732e0ca1f63a,stability_issue,in_vivo,high,"Metformin metformin atherosclerosisin recruiting IV timetodeath,non-fatalmyocardial 02915198 prediabetes infarction,stroke,hospitalization forunstableangina,orsymptom- drivencoronaryrevascularization ",+0.0,+0.0
64c10655a35a7623,decision_point,unknown,low,Continued Category Molecule Indication Status Phase Principalendpoint(s) NCTno.,+0.0,+0.0
2e196bddc071dae8,regulatory_risk,in_vivo,med,"preventionofprogression recruiting III timetoprogressionof 01864096 inlow-riskprostatecancer prostatecancerwithin 3years preventionoforalcancer active,notrecruiting II completeorpartial 02581137 inpat",+0.0,+0.0
4975fa625a47e593,decision_point,unknown,low,Continued Category Molecule Indication Status Phase Principalendpoint(s) NCTno.,+0.0,+0.0
f41cf9c84214c959,method_evaluation,in_vivo,med,"Parkinson’sdisease recruiting II motorfunctionandserum 05781711 biomarkers(BDNF)after3months musclehealthinhealthy active,notrecruiting I MRI-quantifiedmusclemass 03107884 adults>60years after5daysofb",+2.0,+3.0
0e799e2e75f6f5d8,decision_point,unknown,low,Continued Category Molecule Indication Status Phase Principalendpoint(s) NCTno.,+0.0,+0.0
17c74b90ccc9d5ef,efficacy_result,in_vivo,med,"mildcognitiveimpairment recruiting I changesinbrainNAD+,CK/ATPase 04430517 andmildAlzheimer’sdiseasein activity,andglutathioneafter12weeks patients>55years cognitiveimpairment notyetrecruiting N/A sle",+0.0,+2.0
17c6acf89e18d3e4,decision_point,unknown,low,Continued Category Molecule Indication Status Phase Principalendpoint(s) NCTno.,+0.0,+0.0
cc61b91f74ccd3a6,decision_point,in_vivo,med,"cardiovasculardisease recruiting III timetomajorcardiovascularevent 05669755 inobesity (infarction,stroke,anddeath)upto 163weeksormore cardiovasculardisease recruiting IV frequencyofcirculatingALDHhiS",+0.0,+0.0
abf431bd5070f179,decision_point,unknown,low,Continued Category Molecule Indication Status Phase Principalendpoint(s) NCTno.,+0.0,+0.0
93843ba650ae0836,decision_point,in_vivo,med,cardiovascularfunctionat recruiting II cardiacandaortic 04742777 >70years MRImeasurements after8weeks preventionofbreastcancerin recruiting II reductionofhistologicalbiomarkers 02642094 postmenopausal,+2.0,+1.0
23ebf82151f45221,decision_point,unknown,low,Continued Category Molecule Indication Status Phase Principalendpoint(s) NCTno.,+0.0,+0.0
f9ae01f3a7dc954e,method_evaluation,in_vivo,med,"dasatiniband frailadultsurvivorsof recruiting II walkingspeedandabundanceof 04733534 quercetin childhoodcancer senescentcellsinthebloodfor versusfisetin 150days skeletalhealthinwomen active,not II C-t",+0.0,+0.0
bb6070903751413c,decision_point,unknown,low,Continued Category Molecule Indication Status Phase Principalendpoint(s) NCTno.,+0.0,+0.0
d9f474184cb772dc,decision_point,in_vivo,med,"preventionofdiseaserecurrence active,notrecruiting III disease-freeandoverallsurvival 02804815 afterprimarytreatmentofnon- forupto10years metastaticsolidcancers preventionofcolorectalcancer active,not",+2.0,+0.0
b0fe5bbcfa61da6f,efficacy_result,in_vivo,low,"Subjects received Doesmetforminhaveanydownsides?Twoindependentran- aminimumof6monthsofantidiabetictreatments,andmetfor- domizedtrialsofolderadultsfoundthatmetforminslightlycoun- min did not give rise ",+0.0,+2.0
77cb80a2e980d6c8,toxicity_flag,unknown,med,"formin increases skeletal muscle production of hydrogen Cognitivedeclineandheartfailure peroxideinhealthyolderadults,asmeasuredbyafluorescent Apositiveeffectofmetforminoncognitivedeclineindiabetics bi",+0.0,+1.0
1ffd4863cbb30fcc,efficacy_result,in_vivo,high,"In addition, small amounts of oxidative stress beticstreatedwithmetformin,77,78butanotherstudyactuallyre- havebeenshowntoinduceabeneficialeffectoncellsandor- portedthatmetforminusewasassociatedwithwor",+2.0,+2.0
2383307d1d020477,decision_point,clinical,med,"peptide and low-density lipoprotein levels, which are markers ofheartfailure.However,theactualcardiologicalbenefitofmet- NAD+boosters/sirtuins forminuseremainstobeassessedindiabeticandnon-diabetic Thr",+0.0,+0.0
ce30a8d2bdab7af1,efficacy_result,in_vivo,med,"studiesshowingthatagingprocessescanbeslowedbyboost- Tcells ingsirtuinactivitygenetically,orpharmacologicallywithSIRT1- Arecent20-weekpilotstudyinnon-diabeticolderadultsqueried activatingcompounds,NRor",+3.0,+0.0
96dac9e67f85e0a3,decision_point,in_vivo,med,"in autophagy in CD4+ T lymphocytes, as well as signs of Astudypublishedin2021onNMNsupplementationinpredia- improvedorganelleclearance.82 beticwomenreportedasignificantincreaseininsulinsensitivity, Gut",+2.0,+4.0
c9f18e76ac3e1369,decision_point,in_vivo,med,"Cholesterol,bloodpressure,andphysicalperformance Finally, there are other diseases or conditions of aging for AdministrationofMIB-626,apolymorphofNMN,tooverweightor whichtherearepreclinicaldataindicat",-3.0,+2.0
52ee07cc4286728d,efficacy_result,in_vivo,med,"elevatedNAD+levelsinthecerebrospinalfluid(CSF)andinthe Diabetes/metabolism braininmost,butnotallpatients.Inpatientswhereanincrease It seems clear that GLP-1 drugs are fulfilling their promise as in NA",-4.0,+2.0
d59f9c901b2b73eb,decision_point,unknown,low,Atrialinhealthyadultslookedattheef- peptide analogs because they are orally available and easier fectsofNRonthecontentsofextracellularvesiclesassociated todose.,+0.0,+0.0
907cfc1b7c0cffad,method_evaluation,in_vivo,med,"Anopen-labelstudyofNRwasconduct- tersofcardiovascularfunction;deathduetocardiovasculardis- ed on 24 patients with ataxia telangiectasia, which is due to ease,non-fatalmyocardialinfarctions,andstroke.A",+0.0,+0.0
54464345813b89fb,regulatory_risk,in_vivo,med,"ll Review agonistsinPD.Inthefirst,exenatidewasfoundtosignificantly and an increase in T regulatory cells.122 A mechanism for the improveclinicalsignsofPDcomparedwiththeplacebogroup, reductioninTh17cel",+3.0,+0.0
3ac1aa0f0cbc10ce,decision_point,in_vivo,med,Two human Thisoptimismisreflectedbythelargernumberofclinicaltrials trialsillustratesthispoint.An8-weekplacebo-controlledtrialof inwhichdistinctGLP-1analogsorreceptoragonistsareadmin- 25olderadultsrepo,+3.0,+0.0
00549a756fe6971e,toxicity_flag,in_vivo,med,"treatedarm.126Onthepositiveside,therewasanincreaseinT regulatory cells, which can dampen the activity of cytotoxic Rapamycin/mTOR Tcellsandlowerinflammation.Adifferenttrialfollowedpatients Rapamycinan",+0.0,+0.0
2b9139768472753c,efficacy_result,unknown,med,"In the first pilot trial, RAD001 frailty.Severaltrialsreportthattheseeffectsonskeletalmuscle showeda20%improvementinefficacyofthevaccineagainst inresponsetoexerciseareinhibitedbyrapamycinanditsana- fl",-4.0,+0.0
5fc04d64a875a79e,decision_point,in_vivo,med,This considerable body of data tionrateovera1-yearperiodpostvaccination.120Thesefindings from human trials suggest that rapalogs and metformin might suggest an important application for TORC1 inhibito,-5.0,+0.0
faf18a834e404ad0,decision_point,in_vitro,med,"TORC1levelswithout interferingwithnecessarycell growth.It Autoimmunity remainstobeseenwhethersuchapartialinhibitorforTORC1 Asinglestudylookedatrapamycininlupuserythematosusand will be identified, whic",+0.0,+2.0
e931a3d9aa316f6c,decision_point,in_vitro,med,"Tcells,asdeterminedbyloweringp16,p21,andTNF-ainthose cells.140Finally,athirdstudyreportedthatexercisereducedp16 Spermidine/autophagy levelsinperipheralbloodmononuclearcells(PBMCs).141 Humanclinicaltri",+0.0,+0.0
70240af94878513e,efficacy_result,clinical,med,"erable potential for improving human health span, but the full Aplacebo-controlledtrialenrollingagroupof30olderadultsalso depthandbreadthoftheirpromisewillberevealedinthenext foundimprovementincogniti",+3.0,+0.0
87b5ae72bf6fa061,efficacy_result,in_vivo,low,"oldervolunteersgavethefirstindicationthatprobioticsboosted Thus,spermidinehasthepotentialtopromotehealthyagingby theactivityofnaturalkillercells.146Whileonemeta-analysisof rampingupautophagy,buttheext",+0.0,+0.0
db489a3ca9f2c45f,efficacy_result,unknown,med,"replenishingapopulationdiminishedbyaging.149Anopen-label study150foundthatacombinationofprobioticsanddietlowered Senolytics homocysteine, a potentially harmful metabolite that that may Human study res",+0.0,+0.0
d06b5c55bab8d33c,method_evaluation,in_vivo,low,"carecentersfoundLactobacillusreducedinfectionsintheupper Reductionofsenescentcellsinhumans but not the lower respiratory tract.153 Overall, the majority of Animportantmilestonewasanopen-labelstudyofpa",+0.0,+0.0
215db3f79bbc53a9,manufacturing_constraint,clinical,med,"muciniphila caused a reduction in insulinemia, an in- ongoing clinical trials that are evaluating anti-inflammatories on crease in insulin sensitivity, as well as favorable effects on aging-relateddis",+7.0,+0.0
3141e3052c903f93,manufacturing_constraint,clinical,med,"totreatconditionsrangingfromdiseasesofspecifictissuesto Cognition system-wide deficits resulting from aging processes, but care Numerousstudieshavetestedeffectsofprobioticsoncognition in dosing and tr",+0.0,+2.0
b7850704c53187d4,manufacturing_constraint,unknown,low,"numerous pathways that may be targeted for interventions to Overall,probioticsofferconsiderablepromiseforimprovinghu- slowagingprocessesandtheiraccompanyingdiseases.Thisre- manhealth.Thefurthertesting",+3.0,-1.0
6cf537939353a4da,manufacturing_constraint,unknown,low,"fewyearswillpresentatippingpoint,whenthemostviableap- proacheswillbecomeevidentandmoveustowardamorewide- Anti-inflammatories spreaduseofinterventionstargetingagingprocesses.Whileag- Asdiscussedabove,i",+0.0,+0.0
4ceb417b965d18f3,method_evaluation,in_vitro,med,"above,IL-1,IL-6,andTNF-a,arealsoapartofthemedleyoffac- Off-label use may allow a more general application to combat torsthatareproducedinresponsetoinfections,andalsocanbe aginganditseffects(Figure2).I",+0.0,+0.0
1aeea0e53da08e35,manufacturing_constraint,in_vitro,med,"Inhibition of these factors may ofagingbiomarkers,suchasDNAmethylation,glycanation,me- therefore be expected to trigger a reduction in inflammaging, tabolomics,andproteomics,mayleadtoFDAapprovalofthes",+2.0,+1.0
f7e9e3374a413109,decision_point,clinical,med,"manstudiestargetingaging,weareoptimistic thatthecourse The published data on human trials are most developed for ofhumanhealthcouldbefundamentallychanged.However,at IL-6,whichwasinitiallyproposedtobet",+0.0,+0.0
1446c43916fe1806,method_evaluation,clinical,low,"callyincreasewithagingforallthereasonsmentionedabove.At present,mostclinicalstudiesofIL-6,asfortheothercytokines, ACKNOWLEDGMENTS areinprogressbutnotcompleted.Thereareclinicaldata,how- ever,relatingto",+0.0,+2.0
5ee32b7d3affadc8,manufacturing_constraint,unknown,low,"CurrentandfuturepathstoFDA approvalforinterventionstoslow(or reverse)agingprocesses (A) In compliance with current FDA regulations, interventionsmustbetestedfortheireffectson aging-dependent diseases.",+0.0,+0.0
3426fdde86712ed7,method_evaluation,unknown,low,"If approved, they couldbeusedofflabelformorewidespreadap- plications.",+0.0,+0.0
95c2db5ffe66b653,method_evaluation,unknown,low,"(B) In the future, the acceptance of aging bio- markers would allow drugs to be tested and approved for aging itself, and then be used off labeltotreatdiseases.",+0.0,+0.0
9f92d6e3a14164d2,method_evaluation,in_vivo,med,currentlysupportedbytheJainFoundation.G.K.issupportedbytheLigue Invivoameliorationofage-associatedhallmarksbypartialreprogram- Contre le Cancer (e´quipe labellise´e); Agence National de la Recherche m,+0.0,+0.0
3323fc5a4e6f8441,decision_point,clinical,low,Views and opinions ex- Effectofcocoaflavanolsupplementationforthepreventionofcardiovas- pressedarethoseoftheauthor(s)onlyanddonotnecessarilyreflectthose cular disease events: the COcoa Supplement and ,+7.0,+2.0
e6c01b0342df37ad,decision_point,clinical,low,"ization,andclinicaldevelopmentoftheglucagon-likepeptides.J.Clin.",+0.0,+0.0
ca6c8c565ffd3fa1,toxicity_flag,unknown,low,"E.,Boya,P.,etal.(2017).Autophagycouteractsweightgain,lipotoxicity andpancreaticbeta-celldeathuponhypercaloricpro-diabeticregimens.",+0.0,+0.0
2f8167043c0cfab2,regulatory_risk,unknown,low,"Science 1-BCL2autophagyregulatorycomplexpromoteslongevityinmice.Na- 307,1915–1920.",+0.0,+2.0
eaf2e579d360f50f,decision_point,clinical,low,"Lushchak,O.(2019).Metforminasageroprotector:experimentaland clinicalevidence.Biogerontology20,33–48.",+0.0,+0.0
0d1f7560ee0063ee,method_evaluation,unknown,low,"Custodero,C.,Mankowski,R.T.,Lee,S.A.,Chen,Z.,Wu,S.,Manini, inplasmaextracellularvesiclesenrichedforneuronalorigin.AgingCell T.M., Hincapie Echeverri, J., Sabba`, C., Beavers, D.P., Cauley, J.A., 22,e1",+0.0,+0.0
ebff08bd6e66bb7e,decision_point,in_vivo,low,"McKenzie,A.I.,Mahmassani,Z.S.,Petrocelli,J.J.,deHart,N.M.M.P., Fix,D.K.,Ferrara,P.J.,LaStayo,P.C.,Marcus,R.L.,Rondina,M.T.,Sum- 103.Shi,Y.,Kerry,P.S.,Nanson,J.D.,Bosanac,T.,Sasaki,Y.,Krauss,R., mers,S",+3.0,+2.0
7e09222a43ed51b0,method_evaluation,unknown,low,"Yi,L.,Maier,A.B.,Tao,R.,Lin,Z.,Vaidya,A.,Pendse,S.,Thasma,S., label, randomised, phase 3a trial.",+0.0,+0.0
6b5e8024a00cf5c2,decision_point,clinical,low,"placebo-controlled,parallel-group,dose-dependentclinicaltrial.Gero- (2017).",+5.0,+0.0
7700571ece2b12ef,decision_point,clinical,med,"Mozaffarian,D.,Chen,O.,andGuarente,L.(2023).Nicotinamideriboside andpterostilbenereducesmarkersofhepaticinflammationinNAFLD:A 108.Raccah,D.,Miossec,P.,Esposito,V.,Niemoeller,E.,Cho,M.,andGer- double-b",+3.0,+0.0
7cb6f480c817a235,decision_point,clinical,low,"heimer’s Disease, 6-month treatment with GLP-1 analog prevents declineofbrainglucosemetabolism:randomized,placebo-controlled, 133.Pekar,T.,Bruckner,K.,Pauschenwein-Frantsich,S.,Gschaider,A.,Op- double",+6.0,+3.0
1a2624adeafabbb8,efficacy_result,in_vivo,med,"S.,Ashiqueali, S.,Schneider,A.,etal.(2023).Cellular senescence in UseofamantadineassubstrateforSSAT-1activityasareliableclinical skin-relatedresearch:targetedsignalingpathwaysandnaturallyoccur- diagno",+3.0,-2.0
c2ca18dba07818d3,decision_point,in_vitro,low,(2023).A etal.(2019).Senolyticsdecreasesenescentcellsinhumans:preliminary chronicwoundmodeltoinvestigateskincellularsenescence.Aging(Al- reportfromaclinicaltrialofdasatinibplusquercetininindividualswi,+0.0,+0.0
e4e3796ca690a1da,method_evaluation,in_vivo,med,"142.Justice,J.N.,Nambiar,A.M.,Tchkonia,T.,LeBrasseur,N.K.,Pascual,R., 127.Svatek,R.S.,Ji,N.,deLeon,E.,Mukherjee,N.Z.,Kabra,A.,Hurez,V., Hashmi, S.K., Prata,L., Masternak, M.M., Kritchevsky, S.B., Musi",+0.0,+0.0
fbf7d777535b6ff6,decision_point,in_vivo,low,"143.Kuro-o,M.,Matsumura,Y.,Aizawa,H.,Kawaguchi,H.,Suga,T.,Utsugi, 128.Lin,H.,Salech,F.,Lim,A.,Vogrin,S.,andDuque,G.(2022).Theeffectof T.,Ohyama,Y.,Kurabayashi,M.,Kaname,T.,Kume,E.,etal.(1997).Mu- rapa",+0.0,+0.0
54dfedfaa1fad016,decision_point,clinical,low,"andLee,J.H.(2015).Supplementationwithtwoprobioticstrains,Lacto- (2022).Orally-active,clinically-translatablesenolyticsrestorealpha-klo- bacilluscurvatusHY7601andLactobacillusplantarumKY1032,reduces th",+0.0,+2.0
2f784b57cd3b382d,decision_point,clinical,low,"The triglyceride-lowering effect of supplementation with ease(SToMP-AD):Apilotclinicaltrial.J.Prev.AlzheimersDis.9,22–29.",+0.0,+2.0
80a0a6411840a3b9,cost_tradeoff,unknown,med,"dualprobioticstrains,LactobacilluscurvatusHY7601andLactobacillus plantarum KY1032: reduction of fasting plasma lysophosphatidylcho- 146.",+0.0,+0.0
8c51165af2e04a6d,decision_point,in_vivo,low,"Valentini,L.,Pinto,A.,Bourdel-Marchasson,I.,Ostan,R.,Brigidi,P.,Tur- 164.Sanborn,V.,Azcarate-Peril,M.A.,Updegraff,J.,Manderino,L.,andGun- roni,S.,Hrelia,S.,Hrelia,P.,Bereswill,S.,Fischer,A.,etal.(2015",+3.0,+2.0
e7fe679382794460,decision_point,in_vivo,low,"Intestinal Akkermansia muciniphila predicts clinical M.J.,Ran,Z.,Tang,T.,etal.(2023).Effectofinductiontherapywitholam- response to PD-1 blockade in patients with advanced non-small-cell kiceptvsplaceb",+0.0,+0.0
4d35cee31bbfb7e1,decision_point,clinical,med,"colitis:Arandomizedclinicaltrial.JAMA329,725–734.",+3.0,+0.0
55c70bc1664763ed,method_evaluation,in_vivo,med,"of Genetics, Albert Einstein College of Medicine, Bronx NY 10461 USA Key words: Aging, longevity, lipid (Fatty Acid), lipoperoxidation, n ematode, RNAi Abbreviations: ACL, average chain length; DBI, d",+2.0,+2.0
153f9fe97ebbb44f,decision_point,unknown,low,"INTRODUCTION A decade later, mutations in the daf-2 gene (then known only to function in developmental progression) were The first mutation observed to extend lifespan in the found to double the norma",+3.0,+1.0
7289a0a0637115f9,method_evaluation,unknown,med,"We recently In the present study, we utilized gas chromatography showed that two age-1 nonsense mutations (mg44 and coupled to mass spectrometry (GC-MS) to analyze m333), previously observed to increa",+2.0,+2.0
0fad4b8799ad3eec,decision_point,in_vivo,low,"elegans longevity-mutant Riddle laboratory (Caenorhabditis Genetics Center; here strains was created by repeated out-crossing of strains designated N2DRM), the longest-lived of six N2 stocks that had ",+0.0,+2.0
de425ed9a0f3f297,decision_point,in_vivo,low,"*Survival data for the F2 generation of SR808 [age‐1(mg44)] are from reference 7, not repeated here.",+0.0,+0.0
18763a62766fe805,decision_point,unknown,low,The same pattern was repeated among the function of the log of strain lifespan.,+0.0,+0.0
fc9ead5ea26dc0d7,decision_point,unknown,low,"We fed worms on the standard alter lipid profiles in the directions we found to be monoxenic bacterial diet, either unmodified or associated with lower transcript levels [24–26,41].",+0.0,+0.0
8ad5da9ad1a87b08,efficacy_result,unknown,low,"longevity by 10–15% [10,12], although no significant elegans, under either peroxide stress or benign changes were seen for transcript levels in long-lived conditions, benefits from RNAi suppression of",+0.0,+2.0
5d362fd1717f9740,regulatory_risk,in_vivo,low,"Such changes could be interpretation: oxidative-stress survival was enhanced orchestrated by regulatory genes such as nhr-49 [25,44] by RNAi to fat-6, encoding a ∆9 desaturase, whereas or nhr-64 [45],",+0.0,+0.0
2c807d8b162a4375,manufacturing_constraint,in_vivo,low,"In this view, the decline in peroxidation index (PI) with increasing lifespan would An inverse correlation between peroxidation index and impart survival benefits by reducing the principal lifespans o",+0.0,+0.0
b38e6968118ffe16,manufacturing_constraint,unknown,med,Worms were docosanol in 15 µL of chloroform was added at 15 µg harvested as young adults (unless noted otherwise) to per sample as an internal standard to monitor the avoid confounding of lifespan eff,+2.0,+2.0
