entity_name,entity_type,pattern_type,health_score,event_count,positive_signals,neutral_signals,negative_signals,replication_signals,total_signals,time_momentum,confidence_level,interpretation,export_timestamp
FBS,model,fragmentation,25,6,0,0,0,0,0,stable,med,FBS shows stalled or uncertain research remaining methodologically diverse and mixed outcome language.,2026-01-22 16:52:15
aggregation,pathway,stagnation,22,24,1,2,1,0,4,increasing,med,aggregation shows stalled or uncertain research encountering persistent technical barriers and mixed outcome language.,2026-01-22 16:52:15
peptide degradation,pathway,fragmentation,21,9,0,1,1,0,2,stable,med,peptide degradation shows stalled or uncertain research remaining methodologically diverse and predominantly negative outcome language.,2026-01-22 16:52:15
internal standard,assay,fragmentation,12,4,0,2,0,0,2,decreasing,med,internal standard shows declining research attention remaining methodologically diverse and mixed outcome language.,2026-01-22 16:52:15
BLOOD,model,fragmentation,11,4,0,1,0,0,1,decreasing,med,BLOOD shows declining research attention remaining methodologically diverse and mixed outcome language.,2026-01-22 16:52:15
Culture media,model,fragmentation,10,4,0,0,0,0,0,decreasing,med,Culture media shows declining research attention remaining methodologically diverse and mixed outcome language.,2026-01-22 16:52:15
Fetal bovine serum,model,fragmentation,10,4,0,0,0,0,0,decreasing,med,Fetal bovine serum shows declining research attention remaining methodologically diverse and mixed outcome language.,2026-01-22 16:52:15
oxidation,pathway,fragmentation,10,4,0,0,0,0,0,decreasing,med,oxidation shows declining research attention remaining methodologically diverse and mixed outcome language.,2026-01-22 16:52:15
bioavailability,assay,abandonment,0,3,0,1,0,0,1,decreasing,med,bioavailability shows declining research attention with declining research interest and mixed outcome language.,2026-01-22 16:52:15
accuracy,assay,abandonment,0,3,0,2,0,0,2,decreasing,med,accuracy shows declining research attention with declining research interest and mixed outcome language.,2026-01-22 16:52:15
glycosylation,pathway,abandonment,0,3,0,0,1,0,1,decreasing,med,glycosylation shows declining research attention with declining research interest and predominantly negative outcome language.,2026-01-22 16:52:15
diabetes,indication,abandonment,0,3,0,0,0,0,0,decreasing,med,diabetes shows declining research attention with declining research interest and mixed outcome language.,2026-01-22 16:52:15
clearance,assay,abandonment,0,3,1,0,0,0,1,decreasing,med,clearance shows declining research attention with declining research interest and predominantly positive outcome language.,2026-01-22 16:52:15
proliferation,pathway,abandonment,0,3,0,0,0,0,0,decreasing,med,proliferation shows declining research attention with declining research interest and mixed outcome language.,2026-01-22 16:52:15
microscopy,assay,abandonment,0,3,0,0,0,0,0,decreasing,med,microscopy shows declining research attention with declining research interest and mixed outcome language.,2026-01-22 16:52:15
reproducibility,assay,abandonment,0,3,0,1,0,0,1,decreasing,med,reproducibility shows declining research attention with declining research interest and mixed outcome language.,2026-01-22 16:52:15
stem cell,stem_cell,abandonment,0,3,0,0,0,0,0,decreasing,med,stem cell shows declining research attention with declining research interest and mixed outcome language.,2026-01-22 16:52:15
