title,building_physics_score,materials_score,failure_score,climate_score,decision,reason
Nuclear βactin dependent chromatin accessibility governs stem cell pluripotency and extracellular matrix gene programs to maintain cellular biomechanics for cell lineage decisions,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=2"
A critical assessment of bonding descriptors for predicting materials properties,6,4,0,0,review,"lens scores warrant review; building_physics=6, materials=4, failure=0, climate=0, total=10"
Identification of loop regions as motifs determining cellular and organ chirality in Myosin 1C,1,0,0,0,skip,"skip; building_physics=1, materials=0, failure=0, climate=0, total=1, biomedical=0"
Controllable highly oriented skyrmion track array in Fe GaTe,1,0,0,0,skip,"skip; building_physics=1, materials=0, failure=0, climate=0, total=1, biomedical=0"
Dynamic profile of malondialdehyde in renal and hepatic ischemia reperfusion injury: an explorative study of internal historical samples,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Pattern formation during melting of lamellar eutectics,1,4,3,0,review,"lens scores warrant review; building_physics=1, materials=4, failure=3, climate=0, total=8"
Canadian climate normals 1951-1980 - Normales climatiques au Canada 1951-1980 v.8,0,0,0,7,review,"lens scores warrant review; building_physics=0, materials=0, failure=0, climate=7, total=7"
Lattice dynamics and complete polarization analysis of Raman-active modes in LaInO$_3$,0,2,0,0,skip,"skip; building_physics=0, materials=2, failure=0, climate=0, total=2, biomedical=0"
Layer-dependent quantum transport in KV2Se2O-based altermagnetic tunnel junctions,0,0,2,0,skip,"skip; building_physics=0, materials=0, failure=2, climate=0, total=2, biomedical=0"
"Comprehensive BioImaging Study of the Red Permanent Marker Ink:  Re-purposing for Cells Imaging Including Cytoplasmic Membrane Visualization and Comparison with Rhodamine 6G, Deep Red Cell Mask, and DiBAC",0,2,0,0,skip,"skip; building_physics=0, materials=2, failure=0, climate=0, total=2, biomedical=0"
Dislocation-ledge coupling governs semicoherent,2,4,2,0,review,"lens scores warrant review; building_physics=2, materials=4, failure=2, climate=0, total=8"
Acoustic Analogy of Quantum Baldin Sum Rule for Optimal Causal Scattering,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Arachidonic acid availability controls neutrophil swarm initiation and scaling,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Prediction of room-temperature two-dimensional $\pi$-electron half-metallic ferrimagnets,1,2,0,0,skip,"skip; building_physics=1, materials=2, failure=0, climate=0, total=3, biomedical=0"
Dynamic dissociation of the IFT complex drives ciliary dysfunction during C. elegans ageing,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Developmental regulation of kinetochore phosphorylation determines mitotic fidelity,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Bounds on the sequence length sufficient to reconstruct binary level-$1$ phylogenetic networks under the CFN model,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Electrochemical Performance of Gold Monolayers for Lithium-Ion Batteries: A First-,2,4,0,0,review,"lens scores warrant review; building_physics=2, materials=4, failure=0, climate=0, total=6"
Determinants of CCT motif specificity in WNK signaling and expansion of CCT like domains,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
High sub-bandgap response and fast switching enabled by thermal,1,0,5,0,review,"lens scores warrant review; building_physics=1, materials=0, failure=5, climate=0, total=6"
Lipids Regulate Export of Lysosomal Enzymes from the Endoplasmic Reticulum,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
"A neuropsychiatric disease-associated mutation in LRRC8B disrupts cellular calcium signaling, mitochondrial function, and bioenergetics",0,2,3,0,review,"lens scores warrant review; building_physics=0, materials=2, failure=3, climate=0, total=5"
Intermediate induction of germline apoptosis maintains fertility and progeny fitness during temperature stress,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Obstructed Cooper pairs in flat band systems - weakly-coherent superfluids and exact spin liquids,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
QualiaNet: An Experience-Before-Inference Network,1,0,0,0,skip,"skip; building_physics=1, materials=0, failure=0, climate=0, total=1, biomedical=0"
Saturated cardiolipins are potent disruptors of inner mitochondrial membrane structure and function,1,2,0,0,skip,"skip; building_physics=1, materials=2, failure=0, climate=0, total=3, biomedical=0"
Inferring the dynamics of underdamped stochastic systems,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Robust Evaluation of Neural Encoding Models,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Continual Learning for fMRI-Based Brain Disorder Diagnosis via Functional Connectivity Matrices Generative Replay,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Mamba-SSM with LLM Reasoning for Biomarker Discovery: Causal Feature Refinement via Chain-of-Thought Gene Evaluation,1,0,0,0,skip,"skip; building_physics=1, materials=0, failure=0, climate=0, total=1, biomedical=0"
Adaptation of white adipocytes to cooler temperatures: impacts on energy metabolism and protein acetylation,0,0,0,6,review,"lens scores warrant review; building_physics=0, materials=0, failure=0, climate=6, total=6"
a236d3dc7e68a998d25cc6047ae5a939,0,0,0,0,review,failed to scan PDF (PdfminerException) — see logs
Fully Atomic-Layer-Deposited Vertical Complementary FeRAM with,1,0,0,0,skip,"skip; building_physics=1, materials=0, failure=0, climate=0, total=1, biomedical=0"
Combining Bayesian and Frequentist Inference for Laboratory-Specific Performance Guarantees in Copy Number Variation Detection,0,0,3,0,skip,"skip; building_physics=0, materials=0, failure=3, climate=0, total=3, biomedical=0"
Direct Laser Micromachining of,0,2,0,0,skip,"skip; building_physics=0, materials=2, failure=0, climate=0, total=2, biomedical=2"
Separating Intrinsic and Domain-Mediated Anomalous Hall Conductivity in Co$_3$Sn$_2$S$_2$ via Contact Engineering,0,2,0,0,skip,"skip; building_physics=0, materials=2, failure=0, climate=0, total=2, biomedical=0"
Magnet-Free Nonreciprocal frequency conversion using Sequential Temporal modulation: Theory and Simulations,1,0,0,0,skip,"skip; building_physics=1, materials=0, failure=0, climate=0, total=1, biomedical=0"
Thermal conductivity tuning of scalable nanopatterned silicon membranes measured with a three-probe method,10,10,0,0,keep,"lens scores strong enough for keep; building_physics=10, materials=10, failure=0, climate=0"
Reversable phase transitions in ferroic two-dimensional Nb2O2I4 through optically excited coherent phonons,1,0,0,0,skip,"skip; building_physics=1, materials=0, failure=0, climate=0, total=1, biomedical=0"
83069637,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Correlative Microstructural Analysis of a Weathered Nantan Meteorite Fragment,0,0,0,4,review,"lens scores warrant review; building_physics=0, materials=0, failure=0, climate=4, total=4"
86350164,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Toroidal Plasmonic Nanodimers for Enhanced Near-Infrared Emission in,1,0,6,0,review,"lens scores warrant review; building_physics=1, materials=0, failure=6, climate=0, total=7"
First-Principles Electronegativity Scale from the Atomic Mean Inner Potential,0,2,0,0,skip,"skip; building_physics=0, materials=2, failure=0, climate=0, total=2, biomedical=0"
"First-principles study of infrared, Raman, piezoelectric and elastic properties of Mg-IV-N\textsubscript{2} (IV = Ge, Si, Sn)",2,2,0,0,review,"lens scores warrant review; building_physics=2, materials=2, failure=0, climate=0, total=4"
ABOUT THE BOOK,11,4,0,10,keep,"lens scores strong enough for keep; building_physics=11, materials=4, failure=0, climate=10"
9006106121_Inner.indb,11,0,0,6,keep,"lens scores strong enough for keep; building_physics=11, materials=0, failure=0, climate=6"
7614346,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Physics-informed tritium fuel cycle modelling workflow for fusion reactors,2,0,0,0,skip,"skip; building_physics=2, materials=0, failure=0, climate=0, total=2, biomedical=0"
A deep learning framework for glomeruli segmentation with boundary attention,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Light-sheet excitation-encoded volumetric spectroscopy for fast multiplexed imaging and quantitative physicochemical mapping in cells,1,0,0,0,skip,"skip; building_physics=1, materials=0, failure=0, climate=0, total=1, biomedical=0"
Microsoft Word - manuscript_ jp-2026-00334q_revised.docx,3,0,0,0,skip,"skip; building_physics=3, materials=0, failure=0, climate=0, total=3, biomedical=0"
A Biphasic Effect of Alcohol on Endothelial Plasticity Through Regulation of Endothelial-to-Mesenchymal Transition,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Bridging scalp and intracranial EEG in BCI via pretrained neural representations and geometric constraint embedding,0,0,3,0,skip,"skip; building_physics=0, materials=0, failure=3, climate=0, total=3, biomedical=0"
Intraflagellar transport of tubulin maintains steady-state axoneme integrity in C. elegans cilia,1,0,0,0,skip,"skip; building_physics=1, materials=0, failure=0, climate=0, total=1, biomedical=0"
CD VERSION,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Configuration-dependent electronic and optical properties of 2D Mo$_{1-x}$W$_x$S$_2$ alloys across the full composition range,1,2,0,0,skip,"skip; building_physics=1, materials=2, failure=0, climate=0, total=3, biomedical=0"
Inverse design of exceptional points in a single-resonance two-port network,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
50345219,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Quantitative Framework for Assessing Mesenchymal Stem Cell Quality Driven by Poised Enhancer Decommissioning,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=2"
Quantum Landscape of Superconducting Diodes,1,0,0,0,skip,"skip; building_physics=1, materials=0, failure=0, climate=0, total=1, biomedical=0"
Environment-dependent tight-binding models from ab initio pseudo-atomic orbital Hamiltonians,2,2,0,0,review,"lens scores warrant review; building_physics=2, materials=2, failure=0, climate=0, total=4"
Anomalous Platinum and Oxygen Transport during Electroforming of NbO Memristors,1,2,3,0,review,"lens scores warrant review; building_physics=1, materials=2, failure=3, climate=0, total=6"
Goxpyriment: A Go Framework for Behavioral and Cognitive Experiments,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Canadian climate normals 1951-1980 - Normales climatiques au Canada 1951-1980 v.8,0,0,0,7,review,"lens scores warrant review; building_physics=0, materials=0, failure=0, climate=7, total=7"
Togaram Ensures Axial Alignment of the Sperm Neck,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Derivation and characterization of an embryonic-derived muscle progenitor cell line from Atlantic salmon (Salmo salar),0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Cell-cell adhesion cannot sustain extended follower streams in a minimal non-local model of leader-follower migration,1,0,0,0,skip,"skip; building_physics=1, materials=0, failure=0, climate=0, total=1, biomedical=0"
Iron spin crossover in ferropericlase and its effect on lower-mantle,7,8,0,0,keep,"lens scores strong enough for keep; building_physics=7, materials=8, failure=0, climate=0"
NPP-21/TPR is required for developmental control of spindle checkpoint strength in C. elegans,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Generative design of inorganic materials,1,0,0,0,skip,"skip; building_physics=1, materials=0, failure=0, climate=0, total=1, biomedical=0"
Absolute Concentration Robustness of Non-Redundant Zero-One Networks with Conservation Laws,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Ultra-high-vacuum cluster tool for epitaxial synthesis and optical spectroscopy of reactive 2D materials,1,2,0,0,skip,"skip; building_physics=1, materials=2, failure=0, climate=0, total=3, biomedical=0"
Pareto-Optimal Offline Reinforcement Learning via Smooth Tchebysheff Scalarization,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Material-Agnostic Zero-Shot Thermal Inference for Metal Additive Manufacturing via a Parametric PINN Framework,3,2,0,0,review,"lens scores warrant review; building_physics=3, materials=2, failure=0, climate=0, total=5"
Sensitivity Improvement by Sample Vibration Excitation in Resistivity Measurement for Non-Magnetic Material Using MFM,1,0,0,0,skip,"skip; building_physics=1, materials=0, failure=0, climate=0, total=1, biomedical=0"
Transcriptomic Models for Immunotherapy Response Prediction,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
"Xilai Bao1,2†, Oleksandr V. Pylypovskyi3,4†, Huali Yang1*, Yali Xie1*, Damien Faurie5, Fatih",1,0,0,0,skip,"skip; building_physics=1, materials=0, failure=0, climate=0, total=1, biomedical=0"
Spin-Valley-Mismatched Altermagnet for Giant Tunneling Magnetoresistance,1,0,0,0,skip,"skip; building_physics=1, materials=0, failure=0, climate=0, total=1, biomedical=0"
Nonmagnetic-magnetic Transitions in Rutile RuO2,1,2,0,0,skip,"skip; building_physics=1, materials=2, failure=0, climate=0, total=3, biomedical=0"
Ultra-high THz-field-confinement at LaAlO twin walls,1,2,0,0,skip,"skip; building_physics=1, materials=2, failure=0, climate=0, total=3, biomedical=0"
Polyformer: a generative framework for thermodynamic modeling of polymeric molecules,0,2,0,0,skip,"skip; building_physics=0, materials=2, failure=0, climate=0, total=2, biomedical=1"
bldgphysics.PDF,1,0,0,0,skip,"skip; building_physics=1, materials=0, failure=0, climate=0, total=1, biomedical=0"
